condition	Sentence	question	options	answer	list	itemID	block	RNDM
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	a	1000	1	Practice1
Practice	This is just a practice sentence.	Is this an official test sentence?	(r) Yes　　　　　　　　　　　No (u)	u	a	1001	1	Practice2
Practice	The priest who had privately advised the lawyer is accused of withholding information.	Why is the priest being accused?	(r) not being totally honest　　　　　　　　　　　stealing money from the church (u)	r	a	1002	1	Practice3
Practice	Over 10,000 species risk extinction in Amazon, says landmark report.	Is Amazon's ecosystem facing problems?	(r) Yes　　　　　　　　　　　No (u)	r	a	1003	1	Practice4
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	b	1000	1	Practice1
Practice	This is just a practice sentence.	Is this an official test sentence?	(r) Yes　　　　　　　　　　　No (u)	u	b	1001	1	Practice2
Practice	The priest who had privately advised the lawyer is accused of withholding information.	Why is the priest being accused?	(r) not being totally honest　　　　　　　　　　　stealing money from the church (u)	r	b	1002	1	Practice3
Practice	Over 10,000 species risk extinction in Amazon, says landmark report.	Is Amazon's ecosystem facing problems?	(r) Yes　　　　　　　　　　　No (u)	r	b	1003	1	Practice4
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	c	1000	1	Practice1
Practice	This is just a practice sentence.	Is this an official test sentence?	(r) Yes　　　　　　　　　　　No (u)	u	c	1001	1	Practice2
Practice	The priest who had privately advised the lawyer is accused of withholding information.	Why is the priest being accused?	(r) not being totally honest　　　　　　　　　　　stealing money from the church (u)	r	c	1002	1	Practice3
Practice	Over 10,000 species risk extinction in Amazon, says landmark report.	Is Amazon's ecosystem facing problems?	(r) Yes　　　　　　　　　　　No (u)	r	c	1003	1	Practice4
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	d	1000	1	Practice1
Practice	This is just a practice sentence.	Is this an official test sentence?	(r) Yes　　　　　　　　　　　No (u)	u	d	1001	1	Practice2
Practice	The priest who had privately advised the lawyer is accused of withholding information.	Why is the priest being accused?	(r) not being totally honest　　　　　　　　　　　stealing money from the church (u)	r	d	1002	1	Practice3
Practice	Over 10,000 species risk extinction in Amazon, says landmark report.	Is Amazon's ecosystem facing problems?	(r) Yes　　　　　　　　　　　No (u)	r	d	1003	1	Practice4
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	e	1000	1	Practice1
Practice	This is just a practice sentence.	Is this an official test sentence?	(r) Yes　　　　　　　　　　　No (u)	u	e	1001	1	Practice2
Practice	The priest who had privately advised the lawyer is accused of withholding information.	Why is the priest being accused?	(r) not being totally honest　　　　　　　　　　　stealing money from the church (u)	r	e	1002	1	Practice3
Practice	Over 10,000 species risk extinction in Amazon, says landmark report.	Is Amazon's ecosystem facing problems?	(r) Yes　　　　　　　　　　　No (u)	r	e	1003	1	Practice4
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	f	1000	1	Practice1
Practice	This is just a practice sentence.	Is this an official test sentence?	(r) Yes　　　　　　　　　　　No (u)	u	f	1001	1	Practice2
Practice	The priest who had privately advised the lawyer is accused of withholding information.	Why is the priest being accused?	(r) not being totally honest　　　　　　　　　　　stealing money from the church (u)	r	f	1002	1	Practice3
Practice	Over 10,000 species risk extinction in Amazon, says landmark report.	Is Amazon's ecosystem facing problems?	(r) Yes　　　　　　　　　　　No (u)	r	f	1003	1	Practice4
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	g	1000	1	Practice1
Practice	This is just a practice sentence.	Is this an official test sentence?	(r) Yes　　　　　　　　　　　No (u)	u	g	1001	1	Practice2
Practice	The priest who had privately advised the lawyer is accused of withholding information.	Why is the priest being accused?	(r) not being totally honest　　　　　　　　　　　stealing money from the church (u)	r	g	1002	1	Practice3
Practice	Over 10,000 species risk extinction in Amazon, says landmark report.	Is Amazon's ecosystem facing problems?	(r) Yes　　　　　　　　　　　No (u)	r	g	1003	1	Practice4
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	h	1000	1	Practice1
Practice	This is just a practice sentence.	Is this an official test sentence?	(r) Yes　　　　　　　　　　　No (u)	u	h	1001	1	Practice2
Practice	The priest who had privately advised the lawyer is accused of withholding information.	Why is the priest being accused?	(r) not being totally honest　　　　　　　　　　　stealing money from the church (u)	r	h	1002	1	Practice3
Practice	Over 10,000 species risk extinction in Amazon, says landmark report.	Is Amazon's ecosystem facing problems?	(r) Yes　　　　　　　　　　　No (u)	r	h	1003	1	Practice4
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	i	1000	1	Practice1
Practice	This is just a practice sentence.	Is this an official test sentence?	(r) Yes　　　　　　　　　　　No (u)	u	i	1001	1	Practice2
Practice	The priest who had privately advised the lawyer is accused of withholding information.	Why is the priest being accused?	(r) not being totally honest　　　　　　　　　　　stealing money from the church (u)	r	i	1002	1	Practice3
Practice	Over 10,000 species risk extinction in Amazon, says landmark report.	Is Amazon's ecosystem facing problems?	(r) Yes　　　　　　　　　　　No (u)	r	i	1003	1	Practice4
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	j	1000	1	Practice1
Practice	This is just a practice sentence.	Is this an official test sentence?	(r) Yes　　　　　　　　　　　No (u)	u	j	1001	1	Practice2
Practice	The priest who had privately advised the lawyer is accused of withholding information.	Why is the priest being accused?	(r) not being totally honest　　　　　　　　　　　stealing money from the church (u)	r	j	1002	1	Practice3
Practice	Over 10,000 species risk extinction in Amazon, says landmark report.	Is Amazon's ecosystem facing problems?	(r) Yes　　　　　　　　　　　No (u)	r	j	1003	1	Practice4
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	k	1000	1	Practice1
Practice	This is just a practice sentence.	Is this an official test sentence?	(r) Yes　　　　　　　　　　　No (u)	u	k	1001	1	Practice2
Practice	The priest who had privately advised the lawyer is accused of withholding information.	Why is the priest being accused?	(r) not being totally honest　　　　　　　　　　　stealing money from the church (u)	r	k	1002	1	Practice3
Practice	Over 10,000 species risk extinction in Amazon, says landmark report.	Is Amazon's ecosystem facing problems?	(r) Yes　　　　　　　　　　　No (u)	r	k	1003	1	Practice4
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	l	1000	1	Practice1
Practice	This is just a practice sentence.	Is this an official test sentence?	(r) Yes　　　　　　　　　　　No (u)	u	l	1001	1	Practice2
Practice	The priest who had privately advised the lawyer is accused of withholding information.	Why is the priest being accused?	(r) not being totally honest　　　　　　　　　　　stealing money from the church (u)	r	l	1002	1	Practice3
Practice	Over 10,000 species risk extinction in Amazon, says landmark report.	Is Amazon's ecosystem facing problems?	(r) Yes　　　　　　　　　　　No (u)	r	l	1003	1	Practice4
Practice	The personal assistant who the bodyguard of the delegate does not trust attracts great public attention.	Who attracted public attention?	(r) The personal assistant　　　　　　　　　　　The bodyguard (u)	r	m	1000	1	Practice1
