condition_id,text,question,options,list,item_id,block,RNDM,correct
MVRR_UAMB,The contestant who was paid the money became unavailable and suddenly terminated his contract.,Did the contestant pay the money to someone?,Yes|No,k,22,2,MVRR,No
NPS_AMB,The new doctor demonstrated the operation appeared increasingly likely to succeed.,What did the doctor demonstrate?,The operation|The operation's likelihood of success,k,5,2,NPS,The operation's likelihood of success
AttachLow,"On the fishing trip, we laughed at the uncles of the sailor who was confused about the motor on the boat.",Who got confused?,The uncles|The sailor,k,55,2,Attach,The sailor
NPS_UAMB,The engineer maintained that the equipment required constant supervision from senior technicians.,Did the engineer maintain the equipment?,Yes|No,k,15,2,NPS,No
AttachHigh,"Down at the pub, Ollie gossiped about the daughters of the nurse who were at church last Sunday in grimy shorts.",Where was Ollie?,A pub|A church,k,63,2,Attach,A pub
MVRR_AMB,The mechanic brought the truck needed several more hours to fully repair it.,Did the mechanic bring the truck?,Yes|No,k,8,2,MVRR,No
RC_Obj,The neighbor who the couple observed purchased the old Victorian house.,Who purchased the house?,The couple|The neighbor,k,41,2,RC,The neighbor
NPZ_UAMB,"Once the recent hire started, the job prepared many students for careers in media.",Did the job help any students?,Yes|No,k,11,2,NPZ,Yes
NPZ_AMB,While the assistant manager worked the training seemed unnecessarily demanding to him.,Was the training difficult?,Yes|No,k,12,2,NPZ,Yes
AttachMulti,"At trial, we scrutinized the prisoner of the FBI agent who was lying about the incident at the casino.",Who lied?,The prisoner|The FBI agent,k,56,2,Attach,BOTH
RC_Subj,The soldiers that helped the natives climbed the big rock that blocked the path.,Who climbed the rock?,The natives|The soldiers,k,43,2,RC,The soldiers
NPS_AMB,The player revealed the bonus remained essentially the same as in the original contract.,Was the contract violated?,Yes|No,k,10,2,NPS,No
AttachHigh,"During the demonstration, someone photographed the soldier of the lieutenants who was camouflaged and hiding in the trees.",Who hid in the trees?,The soldier|The lieutenants,k,57,2,Attach,The soldier
MVRR_AMB,The guitarist assigned the song failed dramatically because he never practiced enough.,Did the guitarist assign the song to someone?,Yes|No,k,9,2,MVRR,No
MVRR_UAMB,The technician who was refused the service stopped working almost immediately after the argument.,Did the technician refuse the service?,Yes|No,k,7,2,MVRR,No
AttachLow,"At the summit, Ursula warmly greeted the advisor of the tycoons who snowboard in Aspen in January.",Who snowboards?,The advisor|The tycoons,k,67,2,Attach,The tycoons
NPS_UAMB,The governor noticed that the contract received sweeping support across the entire state.,How much support did the contract receive?,Extensive|Limited,k,18,2,NPS,Extensive
NPZ_AMB,After the corrupt politician signed the bill received unwelcome attention from southern voters.,Did the southern voters disapprove of the bill?,Yes|No,k,2,2,NPZ,Yes
AttachMulti,Rosalina testified against the detectives of the senators who were caught spying on his colleagues.,Who got caught spying?,The detectives|The senators,k,68,2,Attach,BOTH
NPZ_UAMB,"After the woman moved, the mail disappeared mysteriously from the delivery system.",Did the woman move the mail?,Yes|No,k,3,2,NPZ,No
RC_Subj,The farmer who hired the rancher piled the seeds in long rows.,Who was hired?,The rancher|The farmer,k,32,2,RC,The rancher
RC_Obj,The dancer that the audience loved ignored some basic principles.,Who was loved?,The dancer|The audience,k,29,2,RC,The dancer
