item_id,condition_id,text,question,options,correct
73,FILLER1,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches|Self-driving cars,Smart watches
74,FILLER1,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers|Farmers,Farmers
75,FILLER1,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping|When exercising,When exercising
76,FILLER1,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter's attempt to attack?,Yes|No,Yes
77,FILLER1,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes|No,Yes
78,FILLER1,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes|No,No
79,FILLER1,"Greg Anderson, considered a key witness by the prosecution, vowed he wouldn't testify when served a subpoena last week.",Was Greg Anderson asked to testify?,Yes|No,Yes
80,FILLER1,Owls are more flexible than humans because a bird's head is only connected by one socket pivot.,Are humans less flexible than owls?,Yes|No,Yes
81,FILLER1,"Even in the same animal, not all bites are the same.","For a given animal, can you expect that some bites have different intensity?",Yes|No,Yes
82,FILLER1,"Buck did not like it, but he bore up well to the work, taking pride in it.",How did Buck deal with his job?,He quit|He carried on,He carried on
83,FILLER1,"These days, neuroscience is beginning to catch up to musicians who practice mentally.",Is neuroscience making progress in understanding how musicians can practice mentally?,Yes|No,Yes
84,FILLER1,Hybrid vehicles have a halo that makes owners feel righteous and their neighbors feel guilty for not doing as much to save the planet.,Why would the neighbors feel inferior?,They are not as rich|Their cars are not as eco-friendly,Their cars are not as eco-friendly
85,FILLER1,"Binge drinking may not necessarily kill or even damage brain cells, as commonly thought, a new animal study suggests.",What do most people think about binge drinking?,It may not damage brain cells|It damages brain cells.,It damages brain cells.
86,FILLER1,"When attacked, a skunk's natural inclination is to turn around, lick its tail and spray a noxious scent.",Are skunks inclined to face forward when attacked?,Yes|No,No
87,FILLER1,All that the brain has to work with are imperfect incoming electrical impulses announcing that things are happening.,Are electrical singals in our brain always correct?,Yes|No,No
88,FILLER1,There often seems to be more diving in soccer than in the Summer Olympics.,Do people frequently dive in soccer?,Yes|No,Yes
89,FILLER1,Susan B. Anthony spent nearly sixty years of her life devoted to the cause of social justice and equality for all.,How would one describe Susan?,Philanthropic|Selfish,Philanthropic
90,FILLER1,"Unfortunately, for every six water bottles we use, only one makes it to the recycling bin.",What is the average recycling rate?,Six out of one hundred|One out of six,One out of six
91,FILLER1,"As in the United States, Colombian legislation requires travelers entering the country to declare cash in excess of ten thousand dollars.","As you enter Colombia, do you need to declare cash in excess of fifteen thousand dollars?",Yes|No,Yes
92,FILLER1,"Stress is a risk factor for both depression and anxiety, he says.","Is stress a risk factor for depression, but not anxiety?",Yes|No,No
93,FILLER1,"When it comes to having a lasting and fulfilling relationship, common wisdom says that feeling close to your romantic partner is paramount.",Does common wisdom emphasize a healthy distance to maintain a lasting relationship?,Yes|No,No
94,FILLER1,"Voltaire himself probably won around half a million livres, a large fortune, which he then made even larger.",Was half a million livres considered a significant amount of money?,Yes|No,Yes
95,FILLER1,"When preparing to check out of their hotel room, some frequent travelers pile up their used bath towels on the bathroom floor.",Do frequent travellers sometimes pile clean bath towels on the bathroom floor before checking out of a hotel?,Yes|No,No
96,FILLER1,Research showing that a tiny European river bug called the water boatman may be the loudest animal on earth has some interesting sidebars.,What makes water boatman distinctive?,Its size|Its sound,Its sound
97,FILLER1,"When the new world was first discovered it was found to be, like the old, well stocked with plants and animals.",Was the old world well stocked with plants and animals?,Yes|No,Yes
98,FILLER1,Police in Georgia have shut down a lemonade stand run by three girls trying to save up for a trip to a water park.,What was sold at the stand that was shut-down?,Lemonade|Fruit,Lemonade
99,FILLER1,An early task will be to make sure the newfound microbes were not introduced while drilling through the ice into the lake.,When in the process should we determine whether microbes were introduced?,Late|Early,Early
100,FILLER1,Lady Gaga's YouTube account was suspended Thursday.,What account was suspended on Thursday?,Lady Gaga's Youtube|Lady Gaga's Instagram,Lady Gaga's Youtube
101,FILLER1,John Thornton asked little of man or nature.,Did John Thorton expect a lot from other people?,Yes|No,No
102,FILLER1,Proper ventilation will make a backdraft less likely.,Would proper ventilation reduce backdraft?,Yes|No,Yes
103,FILLER2,"For centuries, time was measured by the position of the sun with the use of sundials.",Were sundials used for centuries?,Yes|No,Yes
104,FILLER2,"The girl's feet were then re-wrapped even tighter than before, causing her footprint to shrink further.",Were the wraps around the girl's feet tighter after they were re-wrapped?,Yes|No,Yes
105,FILLER2,"The astronauts used a hefty robotic arm to move the bus-size canister, stuffed with nearly three tons of packing foam.",Did the astronauts move the container by themselves?,Yes|No,No
106,FILLER2,"Very similar, but even more striking, is the evidence from athletic training.",Is athletic training the only source of evidence?,Yes|No,No
107,FILLER2,"I agree that California's ""three strikes and you're out"" law will be a financial disaster for taxpayers who care about education.",Does the speaker think there's drawback of the law?,Yes|No,Yes
108,FILLER2,"It was a forbidding challenge, and it says much for Winstanley's persuasive abilities, not to mention his self-confidence.",What better describes Winstanley?,Eloquent|Uncertain,Eloquent
109,FILLER2,"With schools still closed, cars still buried and streets still blocked by the widespread weekend snowstorm, officials are asking people to help out.",What happened to the area?,Blizzard|Drought,Blizzard
110,FILLER2,"Steam sterilization is limited in the types of medical waste it can treat, but is appropriate for laboratory substances.",What is steam sterilization good for?,Any waste|Lab waste,Lab waste
111,FILLER2,"From coal to cars, Chinese floods tangle supply chains worldwide.",Do the floods have a global economic effect?,Yes|No,Yes
112,FILLER2,This new film marks 10 years since the death of the superstar.,How long has the artist passed away?,For only a few years|For about a decade,For about a decade
