item_id,condition_id,text,question,options,correct
3,NPS_AMB,The woman maintained the mail disappeared mysteriously from her front porch.,Could the woman find the mail?,Yes|No,No
10,MVRR_AMB,The player paid the bonus remained essentially the same despite his sudden fame and wealth.,Did the player pay the bonus to someone?,Yes|No,No
11,MVRR_AMB,The recent hire offered the job prepared many students for careers in media.,Did the new hire offer the job to someone?,Yes|No,No
13,NPZ_AMB,Although the mayor changed the document provided sufficient evidence for what he had promised.,Did the mayor change the document?,Yes|No,No
14,NPZ_AMB,After the basketball player signed the contract created another controversy in the NBA.,Were there already controversies in the NBA?,Yes|No,Yes
15,MVRR_AMB,The engineer brought the equipment required constant supervision from senior technicians.,Did the engineer bring the equipment to someone?,Yes|No,No
16,NPS_AMB,The little girl found the lamb remained relatively calm despite the absence of its mother.,Was the lamb's mother missing?,Yes|No,Yes
18,MVRR_AMB,The governor awarded the contract received sweeping support across the entire state.,Did the governor award the contract to someone?,Yes|No,No
19,NPS_AMB,The patient reported the treatment continued causing uncomfortable side effects like nausea.,Did the patient's nausea last for a while?,Yes|No,Yes
20,NPZ_AMB,Once the operator stopped the machine started working efficiently without any supervision.,Did the operator stop the machine?,Yes|No,No
23,NPS_AMB,The new chef claimed the restaurant separated mediocre cooks from gifted ones.,Did the chef join the restaurant recently?,Yes|No,Yes
24,NPZ_AMB,When the apprentice baker worked the oven produced smaller cakes because he lacked experience.,Why were the cakes small?,The baker was not good.|The oven was not reliable.,The baker was not good.
1,MVRR_UAMB,The suspect who was sent the file deserved further investigation given the new evidence.,Did the suspect send the file to someone?,Yes|No,No
2,MVRR_UAMB,The corrupt politician who was handed the bill received unwelcome attention from southern voters.,Did the politician hand the bill to someone?,Yes|No,No
4,MVRR_UAMB,The boy who was fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,Did the boy feed the chicken?,Yes|No,No
5,NPZ_UAMB,"After the new doctor left, the operation appeared increasingly likely to succeed.",Did the doctor appear likely to succeed?,Yes|No,No
6,NPZ_UAMB,"After the professor read, the grant gained more attention due to her excellent description.",Who or what got a lot of attention?,The grant|The professor,The grant
7,NPZ_UAMB,"After the technician called, the service stopped working almost immediately to his surprise.",Did the technician stop working?,Yes|No,No
8,NPS_UAMB,The mechanic observed that the truck needed several more hours to be repaired.,Had the truck broken down?,Yes|No,Yes
9,NPZ_UAMB,"After the guitarist began, the song failed dramatically because he skipped the sound check.",Did the guitarist complete the sound check?,Yes|No,No
12,NPS_UAMB,The assistant manager discovered that the training seemed unnecessarily demanding for new staff.,Was the training difficult?,Yes|No,Yes
17,NPS_UAMB,The yoga instructor demonstrated that the position demanded immense physical effort from everyone.,Was the yoga position challenging?,Yes|No,Yes
21,MVRR_UAMB,The dancer who was assigned the ballet achieved incredible success for a new performer.,Did the dancer assign the ballet to someone?,Yes|No,No
22,NPS_UAMB,The contestant revealed that the money became unavailable to him when the show's budget shrank.,What did the contestant reveal?,The money|The unavailability of the money,The unavailability of the money
6,NPS_AMB,The professor noticed the grant gained more attention from marine biologists.,Who paid attention to the grant?,The professor|Marine biologists,Marine biologists
8,NPS_AMB,The mechanic observed the truck needed several more hours to be repaired.,Had the truck broken down?,Yes|No,Yes
15,NPZ_AMB,After the engineer moved the equipment required constant supervision from senior technicians.,Did the engineer move the equipment?,Yes|No,No
17,NPS_AMB,The yoga instructor demonstrated the position demanded immense physical effort from everyone.,Was the yoga position challenging?,Yes|No,Yes
19,MVRR_AMB,The patient refused the treatment continued causing uncomfortable scenes in the ER.,Did the patient refuse the treatment?,Yes|No,No
21,MVRR_AMB,The dancer assigned the ballet achieved incredible success for a new performer.,Did the dancer assign the ballet to someone?,Yes|No,No
1,NPS_UAMB,The suspect showed that the file deserved further investigation during the murder trial.,Who drew attention to the file during the trial?,The suspect|The lawyer,The suspect
3,NPS_UAMB,The woman maintained that the mail disappeared mysteriously from her front porch.,Could the woman find the mail?,Yes|No,No
10,MVRR_UAMB,The player who was paid the bonus remained essentially the same despite his sudden fame and wealth.,Did the player pay the bonus to someone?,Yes|No,No
20,MVRR_UAMB,The operator who was brought the machine started working efficiently with the added automation.,Was the machine helpful?,Yes|No,Yes
22,NPZ_UAMB,"After the contestant lost, the money became unavailable despite his previous three wins in a row.",How many times did the contestant win?,Three|Zero,Three
23,NPS_UAMB,The new chef claimed that the restaurant separated mediocre cooks from gifted ones.,Did the chef join the restaurant recently?,Yes|No,Yes
5,NPZ_AMB,After the new doctor left the operation appeared increasingly likely to succeed.,Did the doctor appear likely to succeed?,Yes|No,No
12,NPS_AMB,The assistant manager discovered the training seemed unnecessarily demanding for new staff.,Was the training difficult?,Yes|No,Yes
13,NPS_AMB,The mayor showed the document provided sufficient evidence to prove her innocence.,Was there enough proof?,Yes|No,Yes
16,NPZ_AMB,When the little girl attacked the lamb remained relatively calm despite the sudden assault.,Was the little girl kind to the lamb?,Yes|No,No
20,NPS_AMB,The operator observed the machine started working efficiently all of a sudden.,Did the machine turn out to be functional?,Yes|No,Yes
23,MVRR_AMB,The new chef offered the restaurant separated mediocre cooks from gifted ones.,Did the chef offer the restaurant to someone?,Yes|No,No
2,NPS_UAMB,The corrupt politician mentioned that the bill received unwelcome attention from southern voters.,Did the bill receive any negative attention?,Yes|No,Yes
8,MVRR_UAMB,The mechanic who was brought the truck needed several more hours to fully repair it.,Did the mechanic bring the truck?,Yes|No,No
9,NPS_UAMB,The guitarist knew that the song failed dramatically because of the tensions within the band.,Did the band members have some interpersonal conflict?,Yes|No,Yes
11,NPZ_UAMB,"Once the recent hire started, the job prepared many students for careers in media.",Did the job help any students?,Yes|No,Yes
14,NPZ_UAMB,"After the basketball player signed, the contract created another political controversy in the NBA.",Were there already controversies in the NBA?,Yes|No,Yes
4,MVRR_AMB,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,Did the boy feed the chicken?,Yes|No,No
14,MVRR_AMB,The basketball player handed the contract created another controversy in the NBA.,Did the player hand the contract to someone?,Yes|No,No
18,NPZ_AMB,While the governor read the contract received sweeping support from the audience at the rally.,How much support did the contract receive?,Limited|Extensive,Extensive
22,NPS_AMB,The contestant revealed the money became unavailable to him when the show's budget shrank.,What did the contestant reveal?,The money|The unavailability of the money,The unavailability of the money
2,NPZ_UAMB,"After the corrupt politician signed, the bill received unwelcome attention from southern voters.",Did the southern voters disapprove of the bill?,Yes|No,Yes
6,NPS_UAMB,The professor noticed that the grant gained more attention from marine biologists.,Who paid attention to the grant?,The professor|Marine biologists,Marine biologists
7,NPS_UAMB,The technician reported that the service stopped working almost immediately after the storm started.,When did the service stop working?,After the storm|Before the storm,After the storm
3,NPZ_AMB,After the woman moved the mail disappeared mysteriously from the delivery system.,Did the woman move the mail?,Yes|No,No
9,NPZ_AMB,After the guitarist began the song failed dramatically because he skipped the sound check.,Did the guitarist complete the sound check?,Yes|No,No
14,NPS_AMB,The basketball player mentioned the contract created another controversy in the NBA.,Were there already controversies in the NBA?,Yes|No,Yes
17,MVRR_AMB,The yoga instructor offered the position demanded immense physical effort from everyone.,Did the instructor offer the position to someone?,Yes|No,No
21,NPS_AMB,The dancer knew the ballet achieved incredible success for a small local production.,What production achieved incredible success?,A ballet|A musical,A ballet
23,NPZ_AMB,Once the new chef started the restaurant separated mediocre cooks from gifted ones.,Did the chef join the restaurant recently?,Yes|No,Yes
24,MVRR_AMB,The apprentice baker assigned the oven produced smaller cakes because he lacked experience.,Did the apprentice baker assign the oven to someone?,Yes|No,No
4,NPS_UAMB,The boy found that the chicken stayed surprisingly happy in the new barn.,Was the chicken satisfied in the new barn?,Yes|No,Yes
8,NPZ_UAMB,"Because the mechanic stopped, the truck needed several more hours before it could be fully repaired.",Did the mechanic stop the truck?,Yes|No,No
11,NPS_UAMB,The recent hire claimed that the job prepared many students for careers in media.,Did the hire believe the job helped students?,Yes|No,Yes
12,NPZ_UAMB,"While the assistant manager worked, the training seemed unnecessarily demanding to him.",Was the training difficult?,Yes|No,Yes
15,MVRR_UAMB,The engineer who was brought the equipment required constant supervision from senior technicians.,Did the engineer bring the equipment to someone?,Yes|No,No
16,NPZ_UAMB,"When the little girl attacked, the lamb remained relatively calm despite the sudden assault.",Was the little girl kind to the lamb?,Yes|No,No
18,MVRR_UAMB,The governor who was awarded the contract received sweeping support across the entire state.,Did the governor award the contract to someone?,Yes|No,No
