condition_id,text,question,options,list,item_id,block,RNDM,correct
NPS_UAMB,The governor noticed that the contract received sweeping support across the entire state.,How much support did the contract receive?,Extensive|Limited,o,18,2,NPS,Extensive
NPZ_AMB,Once the recent hire started the job prepared many students for careers in media.,Did the job help any students?,Yes|No,o,11,2,NPZ,Yes
AttachHigh,"On the fishing trip, we laughed at the uncle of the sailors who was confused about the motor on the boat.",Who got confused?,The uncle|The sailors,o,55,2,Attach,The uncle
NPZ_UAMB,"After the engineer moved, the equipment required constant supervision from senior technicians.",Did the engineer move the equipment?,Yes|No,o,15,2,NPZ,No
AttachMulti,"Down at the pub, Ollie gossiped about the daughters of the nurses who were at church last Sunday in grimy shorts.",Where was Ollie?,A pub|A church,o,63,2,Attach,A pub
NPS_AMB,The player revealed the bonus remained essentially the same as in the original contract.,Was the contract violated?,Yes|No,o,10,2,NPS,No
RC_Subj,The table top that rested on the box screwed directly to the legs.,What attached to the legs?,The box|The table top,o,45,2,RC,The table top
MVRR_UAMB,The technician who was refused the service stopped working almost immediately after the argument.,Did the technician refuse the service?,Yes|No,o,7,2,MVRR,No
MVRR_AMB,The new doctor offered the operation appeared increasingly likely to succeed in her career.,Did the doctor offer the operation to someone?,Yes|No,o,5,2,MVRR,No
AttachLow,"At trial, we scrutinized the prisoners of the FBI agent who was lying about the incident at the casino.",Who lied?,The prisoners|The FBI agent,o,56,2,Attach,The FBI agent
RC_Obj,The veteran who the coach admired defeated his greatest rival.,Who defeated their rival?,The coach|The veteran,o,47,2,RC,The veteran
NPZ_AMB,Once the dancer began the ballet achieved incredible success for a show with a new performer.,What show achieved incredible success?,A musical|A ballet,o,21,2,NPZ,A ballet
AttachMulti,"During the demonstration, someone photographed the soldier of the lieutenant who was camouflaged and hiding in the trees.",Who hid in the trees?,The soldier|The lieutenant,o,57,2,Attach,BOTH
NPS_AMB,The patient reported the treatment continued causing uncomfortable side effects like nausea.,Did the patient's nausea last for a while?,Yes|No,o,19,2,NPS,Yes
NPS_UAMB,The mechanic observed that the truck needed several more hours to be repaired.,Had the truck broken down?,Yes|No,o,8,2,NPS,Yes
AttachHigh,"At the summit, Ursula warmly greeted the advisors of the tycoon who snowboard in Aspen in January.",Who snowboards?,The advisors|The tycoon,o,67,2,Attach,The advisors
NPZ_UAMB,"Before the yoga instructor left, the position demanded immense physical effort from everyone.",Was the position hard?,Yes|No,o,17,2,NPZ,Yes
MVRR_AMB,The woman brought the mail disappeared mysteriously after reading the bad news in it.,Did the woman receive the mail?,Yes|No,o,3,2,MVRR,Yes
AttachLow,Rosalina testified against the detective of the senators who were caught spying on his colleagues.,Who got caught spying?,The detective|The senators,o,68,2,Attach,The senators
MVRR_UAMB,The professor who was awarded the grant gained more attention from marine biologists.,Did the professor award the grant to someone?,Yes|No,o,6,2,MVRR,No
RC_Obj,The judge who the witnesses addressed noticed the defense attorneys.,Who was being addressed?,The witnesses|The judge,o,36,2,RC,The judge
RC_Subj,The firemen that called the residents attacked the house with high-powered hoses.,Who got a call?,The residents|The firemen,o,33,2,RC,The residents
NPZ_UAMB,"Although the mayor changed, the document provided sufficient evidence for what he had promised.",Did the mayor change the document?,Yes|No,o,13,2,NPZ,No
AttachMulti,"Before the exhibition, Silas telephoned the friends of the bodybuilders who write fan fiction about Batman.",Who writes fan fiction?,The friends|The bodybuilders,o,69,2,Attach,BOTH
MVRR_UAMB,The basketball player who was handed the contract created another controversy in the NBA.,Did the player hand the contract to someone?,Yes|No,o,14,2,MVRR,No
MVRR_AMB,The suspect sent the file deserved further investigation given the new evidence.,Did the suspect send the file to someone?,Yes|No,o,1,2,MVRR,No
NPS_AMB,The boy found the chicken stayed surprisingly happy in the new barn.,Was the chicken satisfied in the new barn?,Yes|No,o,4,2,NPS,Yes
AttachHigh,No one quite knew how to respond to the buddies of the janitor who burp without excusing themselves.,Did everyone excuse themselves?,Yes|No,o,61,2,Attach,No
