condition,Sentence,question,options,answer,list,itemID,block,RNDM
FILLER1,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,(r) Smart watches　　　　　　　　　　　Self-driving cars (u),r,k,73,2,FILLER1
FILLER1,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,(r) Construction workers　　　　　　　　　　　Farmers (u),u,k,74,2,FILLER1
FILLER1,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,(r) When sleeping　　　　　　　　　　　When exercising (u),u,k,75,2,FILLER1
FILLER1,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter's attempt to attack?,(r) Yes　　　　　　　　　　　No (u),r,k,76,2,FILLER1
FILLER1,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,(r) Yes　　　　　　　　　　　No (u),r,k,77,2,FILLER1
FILLER1,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,(r) Yes　　　　　　　　　　　No (u),u,k,78,2,FILLER1
FILLER1,"Greg Anderson, considered a key witness by the prosecution, vowed he wouldn't testify when served a subpoena last week.",Was Greg Anderson asked to testify?,(r) Yes　　　　　　　　　　　No (u),r,k,79,2,FILLER1
FILLER1,Owls are more flexible than humans because a bird's head is only connected by one socket pivot.,Are humans less flexible than owls?,(r) Yes　　　　　　　　　　　No (u),r,k,80,2,FILLER1
FILLER1,"Even in the same animal, not all bites are the same.","For a given animal, can you expect that some bites have different intensity?",(r) Yes　　　　　　　　　　　No (u),r,k,81,2,FILLER1
FILLER1,"Buck did not like it, but he bore up well to the work, taking pride in it.",How did Buck deal with his job?,(r) He quit　　　　　　　　　　　He carried on (u),u,k,82,2,FILLER1
FILLER1,"These days, neuroscience is beginning to catch up to musicians who practice mentally.",Is neuroscience making progress in understanding how musicians can practice mentally?,(r) Yes　　　　　　　　　　　No (u),r,k,83,2,FILLER1
FILLER1,Hybrid vehicles have a halo that makes owners feel righteous and their neighbors feel guilty for not doing as much to save the planet.,Why would the neighbors feel inferior?,(r) They are not as rich　　　　　　　　　　　Their cars are not as eco-friendly (u),u,k,84,2,FILLER1
FILLER1,"Binge drinking may not necessarily kill or even damage brain cells, as commonly thought, a new animal study suggests.",What do most people think about binge drinking?,(r) It may not damage brain cells　　　　　　　　　　　It damages brain cells. (u),u,k,85,2,FILLER1
