condition_id,text,question,options,list,item_id,block,RNDM,correct
NPS_AMB,The professor noticed the grant gained more attention from marine biologists.,Who paid attention to the grant?,The professor|Marine biologists,b,6,2,NPS,Marine biologists
NPS_AMB,The mechanic observed the truck needed several more hours to be repaired.,Had the truck broken down?,Yes|No,b,8,2,NPS,Yes
MVRR_AMB,The recent hire offered the job prepared many students for careers in media.,Did the new hire offer the job to someone?,Yes|No,b,11,2,MVRR,No
NPZ_AMB,Although the mayor changed the document provided sufficient evidence for what he had promised.,Did the mayor change the document?,Yes|No,b,13,2,NPZ,No
NPZ_AMB,After the basketball player signed the contract created another controversy in the NBA.,Were there already controversies in the NBA?,Yes|No,b,14,2,NPZ,Yes
NPZ_AMB,After the engineer moved the equipment required constant supervision from senior technicians.,Did the engineer move the equipment?,Yes|No,b,15,2,NPZ,No
NPS_AMB,The little girl found the lamb remained relatively calm despite the absence of its mother.,Was the lamb's mother missing?,Yes|No,b,16,2,NPS,Yes
NPS_AMB,The yoga instructor demonstrated the position demanded immense physical effort from everyone.,Was the yoga position challenging?,Yes|No,b,17,2,NPS,Yes
MVRR_AMB,The governor awarded the contract received sweeping support across the entire state.,Did the governor award the contract to someone?,Yes|No,b,18,2,MVRR,No
MVRR_AMB,The patient refused the treatment continued causing uncomfortable scenes in the ER.,Did the patient refuse the treatment?,Yes|No,b,19,2,MVRR,No
MVRR_AMB,The dancer assigned the ballet achieved incredible success for a new performer.,Did the dancer assign the ballet to someone?,Yes|No,b,21,2,MVRR,No
NPZ_AMB,When the apprentice baker worked the oven produced smaller cakes because he lacked experience.,Why were the cakes small?,The baker was not good.|The oven was not reliable.,b,24,2,NPZ,The baker was not good.
NPS_UAMB,The suspect showed that the file deserved further investigation during the murder trial.,Who drew attention to the file during the trial?,The suspect|The lawyer,b,1,2,NPS,The suspect
MVRR_UAMB,The corrupt politician who was handed the bill received unwelcome attention from southern voters.,Did the politician hand the bill to someone?,Yes|No,b,2,2,MVRR,No
NPS_UAMB,The woman maintained that the mail disappeared mysteriously from her front porch.,Could the woman find the mail?,Yes|No,b,3,2,NPS,No
MVRR_UAMB,The boy who was fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,Did the boy feed the chicken?,Yes|No,b,4,2,MVRR,No
NPZ_UAMB,"After the new doctor left, the operation appeared increasingly likely to succeed.",Did the doctor appear likely to succeed?,Yes|No,b,5,2,NPZ,No
NPZ_UAMB,"After the technician called, the service stopped working almost immediately to his surprise.",Did the technician stop working?,Yes|No,b,7,2,NPZ,No
NPZ_UAMB,"After the guitarist began, the song failed dramatically because he skipped the sound check.",Did the guitarist complete the sound check?,Yes|No,b,9,2,NPZ,No
MVRR_UAMB,The player who was paid the bonus remained essentially the same despite his sudden fame and wealth.,Did the player pay the bonus to someone?,Yes|No,b,10,2,MVRR,No
NPS_UAMB,The assistant manager discovered that the training seemed unnecessarily demanding for new staff.,Was the training difficult?,Yes|No,b,12,2,NPS,Yes
MVRR_UAMB,The operator who was brought the machine started working efficiently with the added automation.,Was the machine helpful?,Yes|No,b,20,2,MVRR,Yes
NPZ_UAMB,"After the contestant lost, the money became unavailable despite his previous three wins in a row.",How many times did the contestant win?,Three|Zero,b,22,2,NPZ,Three
NPS_UAMB,The new chef claimed that the restaurant separated mediocre cooks from gifted ones.,Did the chef join the restaurant recently?,Yes|No,b,23,2,NPS,Yes
RC_Subj,The dancer that loved the audience ignored some basic principles.,Who was loved?,The dancer|The audience,b,29,2,RC,The audience
RC_Subj,The employees that noticed the fireman hurried across the open field.,Who was noticed?,The employees|The fireman,b,30,2,RC,The fireman
RC_Obj,The farmer that the customers approached lifted the chickens from their coop.,Who was approached?,The customers|The farmer,b,31,2,RC,The farmer
RC_Obj,The farmer who the rancher hired piled the seeds in long rows.,Who was hired?,The rancher|The farmer,b,32,2,RC,The farmer
RC_Subj,The neighbor who observed the couple purchased the old Victorian house.,Who purchased the house?,The couple|The neighbor,b,41,2,RC,The neighbor
RC_Subj,The pilot who delayed the ground crew remained on the runway for a long time.,Who was on the runway?,The pilot|The ground crew,b,42,2,RC,The pilot
RC_Obj,The soldiers that the natives helped climbed the big rock that blocked the path.,Who climbed the rock?,The natives|The soldiers,b,43,2,RC,The soldiers
RC_Obj,The speaker who the economists entertained predicted a good year for the industry.,Who predicted a good year?,The speaker|The economists,b,44,2,RC,The speaker
AttachMulti,Gerald introduced himself to the niece of the billionaire who sails vintage yachts around the Vineyard.,What kind of yachts were sailed?,Old ones|Contemporary ones,b,52,2,Attach,Old ones
AttachHigh,"At the potluck, Marcus chatted with the aunt of the nuns who bakes sugar cookies with cute designs.",What kind of cookies were they?,Oatmeal cookies|Sugar cookies,b,53,2,Attach,Sugar cookies
AttachLow,"During the budget negotiation, Janet charmed the assistants of the executive who decides almost everything in secret.",What was the venue?,A casual party|A business meeting,b,54,2,Attach,A business meeting
AttachMulti,Karl recognized the hostage of the pirate who was on TV this morning on the local news.,Who was on TV this morning?,The hostage|The pirate,b,58,2,Attach,BOTH
