condition_id,text,question,options,list,item_id,block,RNDM,correct
NPZ_UAMB,"After the technician called, the service stopped working almost immediately to his surprise.",Did the technician stop working?,Yes|No,a,7,2,NPZ,No
MVRR_AMB,The recent hire offered the job prepared many students for careers in media.,Did the new hire offer the job to someone?,Yes|No,a,11,2,MVRR,No
AttachMulti,"On the fishing trip, we laughed at the uncle of the sailor who was confused about the motor on the boat.",Who got confused?,The uncle|The sailor,a,55,2,Attach,BOTH
NPS_UAMB,The assistant manager discovered that the training seemed unnecessarily demanding for new staff.,Was the training difficult?,Yes|No,a,12,2,NPS,Yes
AttachLow,"Down at the pub, Ollie gossiped about the daughter of the nurses who were at church last Sunday in grimy shorts.",Where was Ollie?,A pub|A church,a,63,2,Attach,A pub
NPZ_AMB,After the basketball player signed the contract created another controversy in the NBA.,Were there already controversies in the NBA?,Yes|No,a,14,2,NPZ,Yes
RC_Subj,The manager who visited the boss remembered some inconvenient facts.,Who remembered the facts?,The boss|The manager,a,37,2,RC,The manager
MVRR_UAMB,The corrupt politician who was handed the bill received unwelcome attention from southern voters.,Did the politician hand the bill to someone?,Yes|No,a,2,2,MVRR,No
NPS_AMB,The patient reported the treatment continued causing uncomfortable side effects like nausea.,Did the patient's nausea last for a while?,Yes|No,a,19,2,NPS,Yes
AttachHigh,"At trial, we scrutinized the prisoner of the FBI agents who was lying about the incident at the casino.",Who lied?,The prisoner|The FBI agents,a,56,2,Attach,The prisoner
RC_Obj,The monkeys that the zookeepers watched charged the bars of their cage.,Who charged the bars of the cage?,The zookeepers|The monkeys,a,39,2,RC,The monkeys
MVRR_AMB,The engineer brought the equipment required constant supervision from senior technicians.,Did the engineer bring the equipment to someone?,Yes|No,a,15,2,MVRR,No
AttachLow,"During the demonstration, someone photographed the soldiers of the lieutenant who was camouflaged and hiding in the trees.",Who hid in the trees?,The soldiers|The lieutenant,a,57,2,Attach,The lieutenant
NPZ_AMB,Once the operator stopped the machine started working efficiently without any supervision.,Did the operator stop the machine?,Yes|No,a,20,2,NPZ,No
NPZ_UAMB,"After the new doctor left, the operation appeared increasingly likely to succeed.",Did the doctor appear likely to succeed?,Yes|No,a,5,2,NPZ,No
AttachMulti,"At the summit, Ursula warmly greeted the advisors of the tycoons who snowboard in Aspen in January.",Who snowboards?,The advisors|The tycoons,a,67,2,Attach,BOTH
NPS_UAMB,The yoga instructor demonstrated that the position demanded immense physical effort from everyone.,Was the yoga position challenging?,Yes|No,a,17,2,NPS,Yes
NPS_AMB,The little girl found the lamb remained relatively calm despite the absence of its mother.,Was the lamb's mother missing?,Yes|No,a,16,2,NPS,Yes
AttachHigh,Rosalina testified against the detectives of the senator who were caught spying on his colleagues.,Who got caught spying?,The detectives|The senator,a,68,2,Attach,The detectives
MVRR_UAMB,The suspect who was sent the file deserved further investigation given the new evidence.,Did the suspect send the file to someone?,Yes|No,a,1,2,MVRR,No
RC_Obj,The class that the teacher disliked skimmed the reading for the week.,Who was disliked?,The class|The teacher,a,28,2,RC,The class
RC_Subj,The bus driver who followed the kids wondered about the location of a hotel.,Who was being followed?,The bus driver|The kids,a,25,2,RC,The kids
NPS_UAMB,The mechanic observed that the truck needed several more hours to be repaired.,Had the truck broken down?,Yes|No,a,8,2,NPS,Yes
AttachLow,"Before the exhibition, Silas telephoned the friend of the bodybuilders who write fan fiction about Batman.",Who writes fan fiction?,The friend|The bodybuilders,a,69,2,Attach,The bodybuilders
