condition_id,text,question,options,list,item_id,block,RNDM,correct
NPZ_UAMB,"Before the yoga instructor left, the position demanded immense physical effort from everyone.",Was the position hard?,Yes|No,r,17,2,NPZ,Yes
NPZ_AMB,After the guitarist began the song failed dramatically because he skipped the sound check.,Did the guitarist complete the sound check?,Yes|No,r,9,2,NPZ,No
AttachLow,Karl recognized the hostages of the pirate who was on TV this morning on the local news.,Who was on TV this morning?,The hostages|The pirate,r,58,2,Attach,The pirate
MVRR_UAMB,The engineer who was brought the equipment required constant supervision from senior technicians.,Did the engineer bring the equipment to someone?,Yes|No,r,15,2,MVRR,No
AttachHigh,Everyone at the party groaned at the bodyguards of the diva who smoke clove cigarettes constantly.,What type of cigarettes are smoked?,Menthol|Clove,r,66,2,Attach,Clove
NPS_AMB,The player revealed the bonus remained essentially the same as in the original contract.,Was the contract violated?,Yes|No,r,10,2,NPS,No
RC_Obj,The table top that the box rested on screwed directly to the legs.,What attached to the legs?,The box|The table top,r,45,2,RC,The table top
NPS_UAMB,The boy found that the chicken stayed surprisingly happy in the new barn.,Was the chicken satisfied in the new barn?,Yes|No,r,4,2,NPS,Yes
MVRR_AMB,The basketball player handed the contract created another controversy in the NBA.,Did the player hand the contract to someone?,Yes|No,r,14,2,MVRR,No
AttachMulti,"During the play, we all heckled the murderer of the prince who was disguised as a peasant from nearby Trosselheim.",Who dressed as a peasant?,The murderer|The prince,r,59,2,Attach,BOTH
RC_Subj,The veteran who admired the coach defeated his greatest rival.,Who defeated their rival?,The coach|The veteran,r,47,2,RC,The veteran
NPZ_AMB,Once the operator stopped the machine started working efficiently without any supervision.,Did the operator stop the machine?,Yes|No,r,20,2,NPZ,No
AttachHigh,"At the charity show, Noreen nodded to the sidekick of the actors who was juggling sharp knives and glass bottles.",Who juggled sharp knives?,The sidekick|The actors,r,60,2,Attach,The sidekick
NPS_AMB,The patient reported the treatment continued causing uncomfortable side effects like nausea.,Did the patient's nausea last for a while?,Yes|No,r,19,2,NPS,Yes
NPZ_UAMB,"After the professor read, the grant gained more attention due to her excellent description.",Who or what got a lot of attention?,The grant|The professor,r,6,2,NPZ,The grant
AttachLow,"At her orientation, Tamara recently met the nephew of the professors who paint beautiful portraits of local celebrities.",Who paints portraits?,The nephew|The professors,r,70,2,Attach,The professors
