condition_id,text,question,options,list,item_id,block,RNDM,correct
MVRR_UAMB,The player who was paid the bonus remained essentially the same despite his sudden fame and wealth.,Did the player pay the bonus to someone?,Yes|No,b,10,2,MVRR,No
MVRR_AMB,The governor awarded the contract received sweeping support across the entire state.,Did the governor award the contract to someone?,Yes|No,b,18,2,MVRR,No
AttachMulti,Karl recognized the hostage of the pirate who was on TV this morning on the local news.,Who was on TV this morning?,The hostage|The pirate,b,58,2,Attach,BOTH
NPZ_UAMB,"After the technician called, the service stopped working almost immediately to his surprise.",Did the technician stop working?,Yes|No,b,7,2,NPZ,No
AttachLow,Everyone at the party groaned at the bodyguard of the divas who smoke clove cigarettes constantly.,What type of cigarettes are smoked?,Menthol|Clove,b,66,2,Attach,Clove
NPZ_AMB,After the basketball player signed the contract created another controversy in the NBA.,Were there already controversies in the NBA?,Yes|No,b,14,2,NPZ,Yes
RC_Subj,The neighbor who observed the couple purchased the old Victorian house.,Who purchased the house?,The couple|The neighbor,b,41,2,RC,The neighbor
NPS_UAMB,The woman maintained that the mail disappeared mysteriously from her front porch.,Could the woman find the mail?,Yes|No,b,3,2,NPS,No
NPS_AMB,The little girl found the lamb remained relatively calm despite the absence of its mother.,Was the lamb's mother missing?,Yes|No,b,16,2,NPS,Yes
AttachHigh,"During the play, we all heckled the murderer of the princes who was disguised as a peasant from nearby Trosselheim.",Who dressed as a peasant?,The murderer|The princes,b,59,2,Attach,The murderer
RC_Obj,The soldiers that the natives helped climbed the big rock that blocked the path.,Who climbed the rock?,The natives|The soldiers,b,43,2,RC,The soldiers
MVRR_AMB,The patient refused the treatment continued causing uncomfortable scenes in the ER.,Did the patient refuse the treatment?,Yes|No,b,19,2,MVRR,No
AttachLow,"At the charity show, Noreen nodded to the sidekicks of the actor who was juggling sharp knives and glass bottles.",Who juggled sharp knives?,The sidekicks|The actor,b,60,2,Attach,The actor
NPZ_AMB,After the engineer moved the equipment required constant supervision from senior technicians.,Did the engineer move the equipment?,Yes|No,b,15,2,NPZ,No
MVRR_UAMB,The corrupt politician who was handed the bill received unwelcome attention from southern voters.,Did the politician hand the bill to someone?,Yes|No,b,2,2,MVRR,No
AttachMulti,"At her orientation, Tamara recently met the nephews of the professors who paint beautiful portraits of local celebrities.",Who paints portraits?,The nephews|The professors,b,70,2,Attach,BOTH
NPZ_UAMB,"After the guitarist began, the song failed dramatically because he skipped the sound check.",Did the guitarist complete the sound check?,Yes|No,b,9,2,NPZ,No
NPS_AMB,The mechanic observed the truck needed several more hours to be repaired.,Had the truck broken down?,Yes|No,b,8,2,NPS,Yes
AttachHigh,Everyone at the coffee shop sympathized with the couriers of the florist who were complaining about the weather.,Who complained about the weather?,The couriers|The florist,b,71,2,Attach,The couriers
NPS_UAMB,The suspect showed that the file deserved further investigation during the murder trial.,Who drew attention to the file during the trial?,The suspect|The lawyer,b,1,2,NPS,The suspect
RC_Obj,The farmer who the rancher hired piled the seeds in long rows.,Who was hired?,The rancher|The farmer,b,32,2,RC,The farmer
RC_Subj,The dancer that loved the audience ignored some basic principles.,Who was loved?,The dancer|The audience,b,29,2,RC,The audience
NPZ_UAMB,"After the new doctor left, the operation appeared increasingly likely to succeed.",Did the doctor appear likely to succeed?,Yes|No,b,5,2,NPZ,No
