condition_id,text,question,options,list,item_id,block,RNDM,correct
NPZ_AMB,After the woman moved the mail disappeared mysteriously from the delivery system.,Did the woman move the mail?,Yes|No,e,3,2,NPZ,No
NPZ_AMB,After the guitarist began the song failed dramatically because he skipped the sound check.,Did the guitarist complete the sound check?,Yes|No,e,9,2,NPZ,No
MVRR_AMB,The player paid the bonus remained essentially the same despite his sudden fame and wealth.,Did the player pay the bonus to someone?,Yes|No,e,10,2,MVRR,No
NPZ_AMB,Although the mayor changed the document provided sufficient evidence for what he had promised.,Did the mayor change the document?,Yes|No,e,13,2,NPZ,No
NPS_AMB,The basketball player mentioned the contract created another controversy in the NBA.,Were there already controversies in the NBA?,Yes|No,e,14,2,NPS,Yes
MVRR_AMB,The yoga instructor offered the position demanded immense physical effort from everyone.,Did the instructor offer the position to someone?,Yes|No,e,17,2,MVRR,No
MVRR_AMB,The patient refused the treatment continued causing uncomfortable scenes in the ER.,Did the patient refuse the treatment?,Yes|No,e,19,2,MVRR,No
NPS_AMB,The operator observed the machine started working efficiently all of a sudden.,Did the machine turn out to be functional?,Yes|No,e,20,2,NPS,Yes
NPS_AMB,The dancer knew the ballet achieved incredible success for a small local production.,What production achieved incredible success?,A ballet|A musical,e,21,2,NPS,A ballet
NPS_AMB,The contestant revealed the money became unavailable to him when the show's budget shrank.,What did the contestant reveal?,The money|The unavailability of the money,e,22,2,NPS,The unavailability of the money
NPZ_AMB,Once the new chef started the restaurant separated mediocre cooks from gifted ones.,Did the chef join the restaurant recently?,Yes|No,e,23,2,NPZ,Yes
MVRR_AMB,The apprentice baker assigned the oven produced smaller cakes because he lacked experience.,Did the apprentice baker assign the oven to someone?,Yes|No,e,24,2,MVRR,No
MVRR_UAMB,The suspect who was sent the file deserved further investigation given the new evidence.,Did the suspect send the file to someone?,Yes|No,e,1,2,MVRR,No
MVRR_UAMB,The corrupt politician who was handed the bill received unwelcome attention from southern voters.,Did the politician hand the bill to someone?,Yes|No,e,2,2,MVRR,No
NPS_UAMB,The boy found that the chicken stayed surprisingly happy in the new barn.,Was the chicken satisfied in the new barn?,Yes|No,e,4,2,NPS,Yes
NPZ_UAMB,"After the new doctor left, the operation appeared increasingly likely to succeed.",Did the doctor appear likely to succeed?,Yes|No,e,5,2,NPZ,No
NPS_UAMB,The professor noticed that the grant gained more attention from marine biologists.,Who paid attention to the grant?,The professor|Marine biologists,e,6,2,NPS,Marine biologists
NPS_UAMB,The technician reported that the service stopped working almost immediately after the storm started.,When did the service stop working?,After the storm|Before the storm,e,7,2,NPS,After the storm
NPZ_UAMB,"Because the mechanic stopped, the truck needed several more hours before it could be fully repaired.",Did the mechanic stop the truck?,Yes|No,e,8,2,NPZ,No
NPS_UAMB,The recent hire claimed that the job prepared many students for careers in media.,Did the hire believe the job helped students?,Yes|No,e,11,2,NPS,Yes
NPZ_UAMB,"While the assistant manager worked, the training seemed unnecessarily demanding to him.",Was the training difficult?,Yes|No,e,12,2,NPZ,Yes
MVRR_UAMB,The engineer who was brought the equipment required constant supervision from senior technicians.,Did the engineer bring the equipment to someone?,Yes|No,e,15,2,MVRR,No
NPZ_UAMB,"When the little girl attacked, the lamb remained relatively calm despite the sudden assault.",Was the little girl kind to the lamb?,Yes|No,e,16,2,NPZ,No
MVRR_UAMB,The governor who was awarded the contract received sweeping support across the entire state.,Did the governor award the contract to someone?,Yes|No,e,18,2,MVRR,No
RC_Obj,The dancer that the audience loved ignored some basic principles.,Who was loved?,The dancer|The audience,e,29,2,RC,The dancer
RC_Obj,The employees that the fireman noticed hurried across the open field.,Who was noticed?,The employees|The fireman,e,30,2,RC,The employees
RC_Subj,The farmer that approached the customers lifted the chickens from their coop.,Who was approached?,The customers|The farmer,e,31,2,RC,The customers
RC_Subj,The farmer who hired the rancher piled the seeds in long rows.,Who was hired?,The rancher|The farmer,e,32,2,RC,The rancher
RC_Obj,The neighbor who the couple observed purchased the old Victorian house.,Who purchased the house?,The couple|The neighbor,e,41,2,RC,The neighbor
RC_Obj,The pilot who the ground crew delayed remained on the runway for a long time.,Who was on the runway?,The pilot|The ground crew,e,42,2,RC,The pilot
RC_Subj,The soldiers that helped the natives climbed the big rock that blocked the path.,Who climbed the rock?,The natives|The soldiers,e,43,2,RC,The soldiers
RC_Subj,The speaker who entertained the economists predicted a good year for the industry.,Who predicted a good year?,The speaker|The economists,e,44,2,RC,The speaker
AttachLow,"In the lobby, Clyde bumped into the chauffeurs of the CEO who is reckless and very unpopular with the company.",Where was Clyde?,In the lobby|At the company's offices,e,49,2,Attach,In the lobby
AttachMulti,Edwin has been reading about the sister of the actor who was visiting the resort in Death Valley.,Where was the resort?,The desert|The seaside,e,50,2,Attach,The desert
AttachHigh,"From the gallery, Franny observed the nurse of the surgeons who was in charge of the operation currently underway.",Where was Franny?,The gallery|The operating room,e,51,2,Attach,The gallery
AttachLow,"On the fishing trip, we laughed at the uncles of the sailor who was confused about the motor on the boat.",Who got confused?,The uncles|The sailor,e,55,2,Attach,The sailor
AttachMulti,"At trial, we scrutinized the prisoner of the FBI agent who was lying about the incident at the casino.",Who lied?,The prisoner|The FBI agent,e,56,2,Attach,BOTH
AttachHigh,"During the demonstration, someone photographed the soldier of the lieutenants who was camouflaged and hiding in the trees.",Who hid in the trees?,The soldier|The lieutenants,e,57,2,Attach,The soldier
AttachLow,No one quite knew how to respond to the buddy of the janitors who burp without excusing themselves.,Did everyone excuse themselves?,Yes|No,e,61,2,Attach,No
AttachMulti,The cunning Wally outmaneuvered the henchmen of the villains who often fail to carry out the plot.,Do the plots always succeed?,Yes|No,e,62,2,Attach,No
AttachHigh,"Down at the pub, Ollie gossiped about the daughters of the nurse who were at church last Sunday in grimy shorts.",Where was Ollie?,A pub|A church,e,63,2,Attach,A pub
AttachLow,"At the summit, Ursula warmly greeted the advisor of the tycoons who snowboard in Aspen in January.",Who snowboards?,The advisor|The tycoons,e,67,2,Attach,The tycoons
AttachMulti,Rosalina testified against the detectives of the senators who were caught spying on his colleagues.,Who got caught spying?,The detectives|The senators,e,68,2,Attach,BOTH
AttachHigh,"Before the exhibition, Silas telephoned the friends of the bodybuilder who write fan fiction about Batman.",Who writes fan fiction?,The friends|The bodybuilder,e,69,2,Attach,The friends
