condition_id,text,question,options,list,item_id,block,RNDM,correct
MVRR_AMB,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,Did the boy feed the chicken?,Yes|No,d,4,2,MVRR,No
NPS_AMB,The mayor showed the document provided sufficient evidence to prove her innocence.,Was there enough proof?,Yes|No,d,13,2,NPS,Yes
MVRR_AMB,The basketball player handed the contract created another controversy in the NBA.,Did the player hand the contract to someone?,Yes|No,d,14,2,MVRR,No
NPZ_AMB,After the engineer moved the equipment required constant supervision from senior technicians.,Did the engineer move the equipment?,Yes|No,d,15,2,NPZ,No
NPZ_AMB,When the little girl attacked the lamb remained relatively calm despite the sudden assault.,Was the little girl kind to the lamb?,Yes|No,d,16,2,NPZ,No
NPS_AMB,The yoga instructor demonstrated the position demanded immense physical effort from everyone.,Was the yoga position challenging?,Yes|No,d,17,2,NPS,Yes
NPZ_AMB,While the governor read the contract received sweeping support from the audience at the rally.,How much support did the contract receive?,Limited|Extensive,d,18,2,NPZ,Extensive
MVRR_AMB,The patient refused the treatment continued causing uncomfortable scenes in the ER.,Did the patient refuse the treatment?,Yes|No,d,19,2,MVRR,No
NPS_AMB,The operator observed the machine started working efficiently all of a sudden.,Did the machine turn out to be functional?,Yes|No,d,20,2,NPS,Yes
NPS_AMB,The contestant revealed the money became unavailable to him when the show's budget shrank.,What did the contestant reveal?,The money|The unavailability of the money,d,22,2,NPS,The unavailability of the money
MVRR_AMB,The new chef offered the restaurant separated mediocre cooks from gifted ones.,Did the chef offer the restaurant to someone?,Yes|No,d,23,2,MVRR,No
NPZ_AMB,When the apprentice baker worked the oven produced smaller cakes because he lacked experience.,Why were the cakes small?,The baker was not good.|The oven was not reliable.,d,24,2,NPZ,The baker was not good.
MVRR_UAMB,The suspect who was sent the file deserved further investigation given the new evidence.,Did the suspect send the file to someone?,Yes|No,d,1,2,MVRR,No
NPZ_UAMB,"After the corrupt politician signed, the bill received unwelcome attention from southern voters.",Did the southern voters disapprove of the bill?,Yes|No,d,2,2,NPZ,Yes
